parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
0.082920482,0.015955185,-1.591681489,0.024838986,-3.0257336,0.030842393,-64.38578175,1.886768752
0.082926482,0.041958481,-2.51256225,0.068218014,-2.795690843,0.073875541,-75.34430353,2.642199609
0.082926714,0.035290086,-2.751860121,0.055147661,-3.536335961,0.061458341,-7.857433592,1.590448712
0.082929942,0.01583137,-0.324795095,0.028418397,1.795044202,0.029405109,-25.49922348,2.035370722
0.082932365,0.028475783,-1.558891268,0.03393294,-3.67893667,0.022102985,-24.61918409,0.807436627
0.082935594,0.045506405,-2.851772749,0.08422159,-4.119269836,0.082869042,3.588570667,1.903595386
0.082939699,0.063029399,-4.973978872,0.081442955,-8.491815818,0.083815265,39.26016261,0.473754336
0.082940157,0.018439508,-3.123061618,0.036652917,-6.671646536,0.042265441,-72.83998446,0.908863125
0.082940937,0.04264186,-2.183210064,0.067453007,-4.256781818,0.072345632,-20.3550446,0.724746644
0.082943902,0.014101419,-5.508689546,0.027035897,-5.075572085,0.02776405,-397.5711105,1.521863996
0.082954544,0.042247432,-5.22582499,0.05471941,-6.312936303,0.060849573,-25.18771858,8.100790408
0.082954722,0.032600323,-3.297802597,0.044759393,-5.225602087,0.044556618,21.03216182,1.141150373
0.082959582,0.027847312,-2.487491468,0.044285068,-4.124890012,0.05259931,-38.05452908,3.092346505
0.082967395,0.019852141,-1.336936379,0.029108843,-6.374389726,0.03500893,2.093472833,2.527181394
0.082969365,0.017486139,-3.424246056,0.025639802,-1.42367128,0.029469166,-57.2532954,2.577469021
0.082977068,0.072312633,-4.249486212,0.128788775,-1.863044546,0.122369004,-52.60362246,3.551984591
0.082977319,0.02661486,0.161880868,0.045681335,-5.01589886,0.052256649,-73.99740589,0.864140051
0.082978522,0.037860876,-1.363246323,0.055182151,-5.480643331,0.048181988,69.11616367,0.52853939
0.082979322,0.058038301,-0.572899631,0.096695752,-3.002164941,0.087013679,-58.92818569,1.544999511
0.082981717,0.050702003,-2.76356691,0.077823734,-6.107599118,0.081177807,-4.559291225,0.928468691
0.082982277,0.027560111,-2.856206977,0.042380082,-5.250817158,0.051615392,-44.79224756,3.63802326
0.082984,0.021891131,-1.222710364,0.028044874,-1.566698756,0.023507487,-109.7421206,1.898409666
0.08298483,0.096283671,-3.585604799,0.141768341,-4.838399667,0.133661086,-43.68813793,0.476427409
0.082985398,0.041536308,-1.249011649,0.070987837,-1.665466587,0.075737881,-17.05814504,3.966848237
0.082988782,0.019711004,-2.63865157,0.030591686,-3.13122378,0.029861806,-101.331307,1.306504975
0.082998287,0.02689288,-0.775035467,0.041603844,-4.822648789,0.049434387,-74.54566893,0.67683448
0.082999504,0.03119395,-2.693640596,0.049684585,-5.354565492,0.046878399,-35.32959815,1.166396044
0.083000307,0.030906618,-2.745132568,0.05175689,-4.980745967,0.053279407,-47.7753838,4.539017821
0.083000952,0.020168562,-5.604365964,0.033301663,-8.72084795,0.035383549,-105.4393766,0.737766721
0.083001227,0.033782288,-4.286711288,0.050347477,-6.930773822,0.044662473,6.032144984,0.765996638
0.083004708,0.032686147,-15.55603585,0.051662315,-13.149745,0.052750736,-123.1212569,0.402597446
0.083004911,0.039270169,-3.952946177,0.062195898,-5.915274006,0.053827529,-123.0014786,0.766504456
0.08300665,0.047559959,-2.121826797,0.078226407,-4.931625146,0.064328586,-9.415812264,0.766208168
0.0830073,0.04555278,-3.421055852,0.076106391,-3.913254785,0.076114736,-65.36608806,0.532508827
0.083012092,0.041954173,-3.079910676,0.051658607,-7.270403415,0.055791193,-16.46389498,2.245840319
0.083019195,0.057171556,-1.636422619,0.0937018,-0.719819002,0.092716823,-52.07661584,0.303728154
0.083021076,0.039017814,-2.903649204,0.062622993,-5.454673383,0.065541427,-42.01705126,1.324825936
0.083021408,0.062331925,-3.67443393,0.100993785,-5.200727625,0.093559727,-63.43176666,0.3410017
0.08302214,0.069590582,-2.543080273,0.128298004,-4.608452618,0.117862573,-121.5670451,0.706628976
0.083028211,0.047977323,-2.234502768,0.058379407,-6.449338784,0.07088673,29.70664847,1.54634664
0.083035055,0.036245935,-2.187964334,0.066599904,-1.780368509,0.058241213,-69.87203869,0.453576192
0.083035126,0.052391407,-3.285689346,0.104960557,-5.352924316,0.092208395,-46.05392146,2.191414054
0.083036396,0.017731291,-1.406696158,0.023289448,-5.119153662,0.028775213,-17.92288782,1.204165706
