ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
322.211087,48.46153314,0.001599682,0.062229621,0.025706118,-1.659919418,0.100622532,-1.933967216,0.089427258,-94.82463142,3.682823573
323.2811758,20.75653574,0.001626519,0.028144578,0.05779155,-1.568681788,0.046469595,-3.559019638,0.053009882,-317.1493198,0.530101612
297.9246526,29.1751982,0.001629276,0.060474077,0.026941728,-2.5684708,0.09264353,-4.39027344,0.091124924,-93.24046371,2.335159468
290.5954319,24.49109001,0.001631662,0.032610875,0.05003428,0.726837904,0.041582536,-3.188927495,0.045930875,-0.59056738,0.581272012
314.4374574,30.1062875,0.001674481,0.035233081,0.04752582,-3.651003295,0.044615921,-4.039350888,0.051114079,-102.0719491,0.510482178
345.1889477,57.41918651,0.00168772,0.064271932,0.026259048,-2.280762452,0.099505506,-0.36309458,0.091518903,-42.08342644,0.683373868
297.9470819,31.31026292,0.001691261,0.065062373,0.02599445,-3.684960591,0.096875544,-4.805857154,0.109507784,-53.32477832,6.587641028
311.6759658,46.81420159,0.001725853,0.052454737,0.03290175,-2.666551892,0.096223996,-3.081659825,0.084812431,-93.88022818,13.26111407
294.0148751,19.65967027,0.001748453,0.080490756,0.021722402,-2.269026285,0.114079861,-4.829295968,0.1274744,18.24660979,0.432100477
309.0014111,32.23524629,0.001748545,0.038354888,0.045588575,-2.804729077,0.05447435,-4.577707219,0.05472419,-16.73215026,0.441286989
299.15366,22.37540963,0.001754889,0.060517227,0.028998166,-3.005812698,0.076818471,-6.251566837,0.080119334,43.91701345,0.539134501
315.0794824,35.21046192,0.001778923,0.025005121,0.07114236,-2.239372841,0.03287199,-2.371303205,0.036752345,-94.00025182,1.592792978
303.7900983,40.76865481,0.001793515,0.076101464,0.023567414,-1.6865619,0.117693646,-2.634307627,0.120042125,-99.98293358,0.65060319
335.2397236,47.38971294,0.001821026,0.031217917,0.058332715,-1.47890066,0.04976909,-1.668173449,0.054045499,-111.7159825,0.323417078
292.6377087,20.28056041,0.001825795,0.070873613,0.025761284,-2.412350258,0.082482465,-4.44551197,0.089733659,13.20771687,3.495587203
336.9337466,53.62215434,0.001841985,0.049355471,0.037320778,-2.16391467,0.079106677,-1.823917183,0.086209578,-76.64876013,0.485160767
322.1732495,39.36787169,0.001848679,0.02945728,0.06275796,-2.221987511,0.042594831,-2.013574131,0.041626129,-65.34671093,1.413479077
342.6699818,58.34461728,0.001848839,0.072542863,0.025486162,-2.636185359,0.135622387,-1.277479243,0.116640199,-102.3928076,1.669723724
303.1270124,36.69095797,0.001862224,0.06240759,0.029839708,-4.882319808,0.113205797,-5.849564874,0.11287498,34.91986218,2.977996841
294.7236391,25.61698666,0.001877715,0.054006508,0.03476831,-1.935211842,0.077857341,-4.069339003,0.091768084,-10.22179829,1.312686574
296.964304,33.70148584,0.001882282,0.025692739,0.073261246,-2.52745953,0.038868153,-4.245563113,0.039638952,-78.49478542,2.760424429
273.9237724,53.14684467,0.001928938,0.015953158,0.12091261,-2.695960113,0.03228216,-0.349787297,0.034259811,-249.7922659,1.030940966
296.5407744,34.36188013,0.001930037,0.029703808,0.064976074,-1.582535171,0.05093192,-2.318479929,0.056140969,-112.6573387,9.375704381
353.9141732,54.93777302,0.001933653,0.040860421,0.04732337,-1.689809626,0.057642457,-0.121173059,0.050609161,-89.85357008,0.460820958
320.4490035,45.27526619,0.00193929,0.031739452,0.061100297,-2.044193683,0.04871776,-3.046263599,0.050013444,-47.2497083,0.838653332
294.9084952,34.95659634,0.001962817,0.037497418,0.05234538,-4.863865135,0.054930406,-6.301035535,0.067288822,-65.14835043,0.933926772
293.24126,25.53307799,0.001963293,0.061729957,0.031804547,-3.225678154,0.083642568,-4.475126927,0.093888616,-54.92124393,1.991229259
304.0221562,39.75058798,0.001970507,0.061476583,0.032052964,-2.26029493,0.113830672,-3.789247068,0.115794388,20.06429416,3.787181455
293.9875507,27.60835824,0.00198506,0.060428649,0.032849655,-2.457400499,0.10054622,-5.286800078,0.095489723,-14.23845231,0.527582023
292.6447893,25.24224432,0.001986416,0.048472778,0.04098004,-2.817067807,0.065815023,-4.141305606,0.079321305,-44.38067603,1.359661474
299.326104,29.52064654,0.001986944,0.051388577,0.038665086,-2.937961929,0.072176781,-5.371370305,0.087481315,-9.616343877,8.912473777
304.594867,22.11618149,0.002011376,0.048487551,0.04148231,2.88828519,0.074970367,-1.880759974,0.060110657,-145.9195543,1.235537155
326.1943688,39.26372228,0.00204886,0.315692112,0.006490057,-4.7169267,0.551635986,-0.45337632,0.554245917,3.906974246,1.568721546
314.9437118,43.17342743,0.002051296,0.082068793,0.024994835,-2.78436382,0.140815057,-3.503756285,0.15121103,-124.8293171,1.315027842
315.1881054,9.375262836,0.002057108,0.040193951,0.051179532,-1.097418187,0.060729582,-5.459570725,0.059650454,-316.890485,1.737786766
303.5531305,29.37819626,0.002093423,0.088224139,0.023728464,-0.689730278,0.124698447,-4.266918077,0.117187796,10.6144482,2.3744644
338.6493595,40.07651226,0.002162523,0.03133896,0.06900429,-0.442362946,0.034807915,-0.809540915,0.046345679,-387.9606087,0.964320344
296.9785714,34.57835027,0.00217335,0.026256343,0.08277427,-1.600148509,0.041476652,-3.37461529,0.041409921,-74.38373913,3.69410804
297.9403624,45.61386624,0.002215497,0.024309605,0.0911367,-1.770847454,0.041622163,-1.993806342,0.048339924,-58.45255329,2.006312115
293.6760655,46.54730825,0.00222366,0.014790172,0.15034716,-0.307881752,0.026950087,0.062414696,0.030121225,-227.8198646,1.315467523
318.5580589,46.38698433,0.002265366,0.042845881,0.05287243,-2.979946607,0.070558648,-3.408989824,0.077405678,-143.2813104,2.115034295
295.703488,33.55314737,0.002280629,0.028011663,0.081417136,-1.839006483,0.045115228,-3.301998151,0.05057039,-62.25457458,0.903729979
299.2061233,40.33207587,0.002286611,0.027765542,0.08235428,-1.944175344,0.044739019,-3.737803769,0.048378414,-129.2818965,0.70645096
337.3588158,46.56511303,0.002287761,0.03251844,0.070352726,-2.077842819,0.048455724,-1.328542705,0.048250572,-100.5906879,0.63481512
298.2441918,37.32581887,0.00231684,0.018457016,0.12552622,-3.201940886,0.02913869,-5.487975846,0.028410147,-87.58320908,1.046370043
308.5386523,49.04869845,0.002326674,0.067833545,0.034299754,-1.769123972,0.138414111,-2.376750845,0.128755792,-85.74679402,0.496955679
298.4664493,31.64428639,0.00233115,0.061603097,0.037841436,-3.424252482,0.095759995,-6.199733808,0.093142622,-55.52921569,1.269900161
299.9003797,37.55758094,0.002333859,0.050471683,0.04624096,-3.523269121,0.077614996,-4.117448263,0.095375859,-18.35237644,1.058324468
295.6207091,33.28903222,0.002385608,0.023822901,0.10013928,-2.70016327,0.036656875,-6.359521292,0.037191097,-11.33733939,0.239963524
352.8155702,55.01488098,0.002405744,0.021622793,0.11125962,-1.768725536,0.030836228,-0.990015823,0.025760631,-129.9019216,2.008017778
306.8617558,16.83726118,0.002492265,0.021361832,0.11666908,-1.530290359,0.033960153,-2.913583898,0.029699482,-400.4166234,3.230445092
307.0035566,53.57103001,0.002506681,0.02618333,0.09573576,-1.870076611,0.0528208,-3.018699085,0.042464334,-124.9591963,1.671661689
240.8628045,83.16753162,0.002509223,0.020266002,0.1238144,-1.944732712,0.030493483,0.731277557,0.032467642,-52.12496928,0.889630735
294.7244169,35.22677025,0.002510208,0.031726599,0.07911998,-2.950869194,0.050826176,-5.590391474,0.061080747,-97.48039867,0.39806393
297.3055008,30.87986574,0.002513086,0.089628007,0.028039074,-1.30248649,0.139730516,-4.197696284,0.152486053,41.153498,1.566136447
294.4284379,48.35641031,0.00251947,0.037282585,0.06757765,-2.251407537,0.079043715,-3.577076284,0.070435551,-106.5971363,0.647584116
297.2429852,18.59431326,0.002525217,0.06348082,0.039779212,-2.305781662,0.081116039,-4.081347061,0.077548333,-3.425344976,0.329112878
316.0080598,43.02864856,0.002525775,0.704980245,0.00358276,-13.98457062,1.246820692,-0.927908539,1.334841847,-8.480106397,6.853170827
294.2044139,29.91673259,0.002538839,0.097305547,0.026091415,0.414155171,0.137097858,-3.328181513,0.153630033,-29.959488,1.350545824
318.6323061,38.31853818,0.002541047,0.099670677,0.025494434,-4.450071805,0.143679322,-5.732467878,0.14402913,-24.22401062,0.919680227
293.3210227,23.81308241,0.002552238,0.030820714,0.08280918,-1.718853781,0.041260976,-4.69211141,0.044910116,19.16945237,5.786434946
297.569321,32.33556369,0.002561126,0.033964089,0.07540687,-2.939519719,0.057008675,-4.530625629,0.059780657,-79.70473494,3.832644898
303.5125981,15.42230139,0.002564472,0.035162378,0.07293228,-1.842848899,0.048802732,-3.806224582,0.058990196,-81.89681142,1.52478709
297.8645886,30.80605158,0.002568108,0.052582301,0.048839774,-2.443714035,0.084395747,-3.635773855,0.095188645,-13.03304654,4.400052053
288.0872614,32.73443103,0.00257511,0.022572826,0.1140801,-2.107646278,0.036676273,-4.715086271,0.039753176,-94.06501134,1.928738327
297.3477048,18.85194202,0.002578742,0.059614961,0.04325663,-3.551105876,0.068365475,-6.52010341,0.06987489,46.18425603,0.365873424
315.3951692,44.52756214,0.002588545,0.056536288,0.045785546,-2.000326925,0.097253505,-2.732134529,0.086140353,-96.2795936,3.941604834
295.9445637,22.19003331,0.002607444,0.09563334,0.027265009,-1.684442661,0.130301978,-5.27242153,0.127242295,2.246544217,0.565985619
329.9677503,52.79618162,0.002619669,0.051344352,0.051021557,-2.611147941,0.08528517,-1.624121254,0.082263704,-67.87172735,1.78225976
332.4657133,48.34252642,0.002634435,0.019573452,0.13459226,-3.21862983,0.031771553,-1.904196232,0.030114947,-119.1522677,0.797911119
323.3897799,53.82087432,0.002643121,0.074797836,0.035336863,-2.500705479,0.138606182,-2.364337172,0.136203123,-41.75814069,0.374263326
297.3432207,33.12993164,0.002655369,0.04240112,0.062624976,-1.927138874,0.078792163,-3.101088138,0.073950463,-105.2093169,2.518524875
297.8364125,30.68803525,0.00267019,0.05445541,0.04903443,-2.150775998,0.092858345,-4.060702767,0.104583372,-104.3784866,1.06992811
293.9232161,29.63374097,0.002670427,0.056126007,0.04757913,-2.195335885,0.084001874,-4.60072274,0.086626695,-47.57346216,2.048908626
327.0474778,43.57501187,0.002670767,0.028659431,0.093189806,-1.400513143,0.045414972,-2.697901523,0.041430895,-154.8803321,2.990287158
293.2800786,29.8205791,0.002677797,0.023364978,0.1146073,-2.337321146,0.034845756,-4.177188571,0.035915687,-33.3568542,0.840812957
325.4214973,56.6929815,0.00268281,0.07517492,0.035687566,-2.42995648,0.14629711,-2.330251337,0.201640112,-135.6909709,1.79379686
303.469786,35.19575007,0.002698609,0.081057511,0.03329252,-2.158502192,0.142093834,-4.619967045,0.14151119,-44.50924902,0.587186093
